
Solar - Troubleshooting,Email,
Solar - Data Review,"",
Solar - Cancellation Request,"",
Solar - Electrical Service Change,Email,
Solar - Transfer,Lender,
Solar Installation,Web,
Solar - Troubleshooting,Chat,
Solar - Customer Escalation,Consumer Review,
Solar - Electrical Service Change,Internal,
Solar - Customer Escalation,Facebook,
Solar - Customer Escalation,Credit Dispute,
Ecommerce Inquiry,Email,
Solar - Deviation,Internal,
Solar - Compensation,Phone,
Solar - Service,Chat,
Solar - Transfer,"",
Solar - Structural Review,Structural Review,
Solar - Panel Removal,AG,
Solar - Scheduling,Phone,
Solar - Transfer,Internal,
Solar - Electrical Service Change,Chat,
Solar - Troubleshooting,Phone,
Solar - Customer Retention,Email,
Solar - Separate Building Inspection,"",
Solar - Permit Request,"",
Solar - Account Maintenance,Web,
Solar - Customer Retention,Chat,
Solar - CAD Redesign,Fleet Performance,
Solar - De-Rate,Phone,
Solar - Electrical Service Change,"",
Solar - Customer Escalation,Loan Partner,
Solar - Customer Escalation,Phone,
Solar - Panel Removal,Web,
Solar - Customer Escalation,Online Review,
Solar - Customer Escalation,Email,
Solar - Panel Removal,Genie,
Solar - Panel Removal,Executive,
Solar - Service,Consumer Review,
Solar - CAD Redesign,Processing - Incentives,
Solar - CAD Lite,Genie,
Solar - Billing,Chat,
Solar WiFi Offline,Phone,
Solar - Property Survey,Office Administrator (OA),
Solar - Customer Retention,Web,
Solar - Customer Default,Customer,
Dialer,Chat,
Dialer,Web,
Solar - Cancellation Request,Processing - Interconnection,
Solar - Service,NPS,
Solar - Cancellation Request,Email,
Solar - Billing,Phone,
Solar - Data Review,Email,
Solar - Transfer,Title Company,
Solar - Electrical Inspection,"",
Solar - Scheduling,"",
Solar - Transfer,Phone,
Solar - CAD Redesign,Processing - Interconnection,
Solar - Service,Web,
Solar - Customer Escalation,Marketing,
Troubleshooting,Email,
Solar - Panel Removal,Field,
Solar - Service,"",
Solar - Customer Escalation,Other,
Solar - Customer Escalation,CEO Promise,
Solar - Separate Building Inspection,Phone,
Solar - CAD Lite,Email,
Solar - Reroof,NEO,
Solar - Billing,Web,
Solar - Property Survey,Other,
Solar - Electrical Service Change,Genie,
Solar - Account Maintenance,Email,
Solar - AB Structural Review,Internal,
Solar - Cancellation Request,Genie,
Solar - Panel Removal,Chat,
Solar - Permit Review,Email,
Solar - Customer Escalation,Special Projects,
Solar - Customer Escalation,Dealer,
Solar - Compensation,Internal,
Solar - Panel Removal,BBB,
Solar - Data Review,PV Design,
Solar Installation,Genie,
Solar - Troubleshooting,Other,
Solar - Electrical Service Change,Phone,
Solar - Customer Retention,Phone,
Solar - CAD Redesign,PV Design,
Solar - CAD Redesign,Sales Manager/Customer,
Solar - Service,Phone,
Solar - Home Builder,Internal,
Solar - CAD Redesign,Quality Control Design,
Solar - CAD Redesign,Structural Review,
Solar - Customer Escalation,BBB,
Solar - CAD Redesign,Electrical Design,
Solar - As-Built CAD,Internal,
Troubleshooting,Phone,
Solar - Billing,Genie,
Solar - Structural Review,Phone,
Solar - Electrical Inspection,Internal,
Solar Installation,Email,
Solar - Permit Review,Internal,
Solar - Reroof,"",
Solar - Transfer,Chat,
Solar - Data Review,Structural Review,
Solar - De-Rate,Genie,
